created_at,text
2018-11-10 18:49:44,"I was stunned by the #MidtermElection2018 

I expected HUGE Red Wave

didn’t understand 

But it’s looking like mid… https://t.co/bhfVgsaoOG"
2018-11-10 18:47:55,Watching the voting debacle unfold in America &amp; reminding myself how awesome it is to live in a country where I can… https://t.co/KczLsGK5kP
2018-11-10 18:39:06,"@CeeCee22063524 Didn't Q promise this would all happen a year ago?
How long will it take before you realize it is f… https://t.co/RL3Lka5Nbh"
2018-11-10 18:38:22,@MAGAPOTUS2018 I pray Trump  resigns and/or is incarcerated before he causes anymore irreparable harm to the US and… https://t.co/8EAhUtU4rf
2018-11-10 16:56:12,"'The purpose of the government is to' ""protect the minority of the  opulent from the majority"" --James Madison, maj… https://t.co/Sr8aeSmcSO"
2018-11-10 16:39:27,@washingtonpost Of course “concession” speeches or comments are not binding. It is only the vote if the people.#MidtermElection2018
2018-11-10 16:11:48,Political unity has to be intentional. #Midterms2018 #MidtermElection2018
2018-11-10 15:13:43,"In light of everything going on in GA and FL, I am proud of @dougducey, @JeffFlake, and AZ for ensuring all absente… https://t.co/T2bsdUNkM7"
2018-11-10 15:03:18,"@uniVEErse @kindergeek When I think Trump can’t disgust me anymore, he pulls another rabbit out of his hat!… https://t.co/T7C3h6SwyC"
2018-11-10 15:00:04,@TheDemocrats Historically the opposite party wins #MidtermElections. Don't hurt your arm patting yourself on the b… https://t.co/6U9ehLNsil
2018-11-10 14:35:45,"""As for my people, children are their oppressors, and women rule over them. O my people, they which lead thee cause… https://t.co/PaDSF3wvy0"
2018-11-10 12:14:03,"#MidtermElection2018 proved to be a nice catalyst for a market rally...not that any particular party won or lost, j… https://t.co/qH8FP6QRNZ"
2018-11-10 11:45:58,Everyone can call to see if their vote was counted. Call your local office for the website to check your status. It… https://t.co/neiZ3JYytH
2018-11-10 11:32:35,@MensRoomLive What’s up with #Florida?  I bet it was coming back from casting its #vote for #MidtermElection2018 Ca… https://t.co/Xzu2NGo3sA
2018-11-10 11:08:54,"All the surveys &amp; opinions  are one side,  janata ka mood on the day of polling is on the other side. Let see what… https://t.co/YNEJjctkmC"
2018-11-10 10:08:01,"@NathanLerner @America22744047 So true,Dr @NathanLerner ! I live in Italy but (as Progressive voter) i hope this… https://t.co/Ek1DXE2Pgm"
2018-11-10 06:48:24,@varin Example of why it is important to have a credible INDEPENDENT well funded electoral commision (like Australi… https://t.co/u9APVUDWys
2018-11-10 06:35:35,@StephenAtHome #Florida has been ever since days of #JebBush #ElectionDay #ElectionResults2018 #Midterms2018… https://t.co/e4cg7Zfdm2
2018-11-10 05:56:52,"@foxandfriends mentioned “caravan” #MigrantCaravan 21 times per episode ahead of #Midterm2018, ONE time after #MidtermElection2018."
2018-11-10 05:10:41,"Demobrats in Florida and Georgia refuse to face the reality that they lost.
#GOP #Midterms2018 #MidtermElection2018"
2018-11-10 04:53:23,@SarahMargulis2 @nytimes The last time Dems flipped this many house seats was 1976. I think that’s a tad longer tha… https://t.co/weJIdwXYZ4
2018-11-10 04:50:17,@chrislcart @SarahMargulis2 @nytimes But not by those margins. #MidtermElection2018
