created_at,text
2018-11-10 18:11:50,"#Sarkar 5 Days Chennai City Gross: 

Day 1 : 2.37 Cr
Day 2 : 2.32 Cr
Day 3 : 1.28 Cr
Day 4 : 1.36 Cr
Day 5 : 1.68 C… https://t.co/JC8UDWd3Np"
2018-11-10 18:09:36,"#Sarkar 5 Days Chennai City Gross: 

Day 1 : 2.37 Cr
Day 2 : 2.32 Cr
Day 3 : 1.28 Cr
Day 4 : 1.36 Cr
Day 5 : 1.68 C… https://t.co/B8SK5vqfTK"
2018-11-10 18:04:17,"@TamilCensor @D2224Jegadeesh This is phenomenal 
Sarkar strom everywere 
Excellent week end… https://t.co/5dpRMwyyWb"
2018-11-10 18:03:20,"#Sarkar Chennai City collections 

Day 1 : 2.41Cr
Day 2 : 2.32Cr
Day 3 : 1.28Cr
Day 4 : 1.36Cr
Day 5 : 1.68Cr

Tota… https://t.co/6qjM7SRy1G"
2018-11-10 13:39:21,"#Sarkar Crossed USD $700k Gross Mark in USA. Only Territory in Overseas, where the movie performing less than expec… https://t.co/jX9siCxcNx"
2018-11-10 13:35:57,"#SARKAR 4 Days Gross (India) !

Tuesday : ₹49.32 Crore

Wednesday : ₹30.33 Crore

Thursday: ₹18.45 Crore

Friday: ₹… https://t.co/elI1OIarB9"
2018-11-10 13:33:54,"#Sarkar Crossed USD $700k Gross Mark in USA. Only Territory in Overseas, where the movie performing less than expec… https://t.co/DExRSflOSy"
2018-11-10 13:31:45,#sarkar mania all over #India...#ThalapathyKingOfBoxOffice  #ThalapathySarkar150Crin4Days  #vijaytelugufans
2018-11-10 12:58:57,"If You want to coordination between #ThalapathyVijay &amp; #ThalaAjith fans in #SarkarIssue?

FOLLOW US to get many pol… https://t.co/6RWl6Hxuem"
2018-11-10 12:39:35,"#ThalapathySarkar150Crin4Days
Huge record 🔥🔥#Sarkar #ThalapathyKingOfBoxOffice #Thalapathy"
2018-11-10 12:03:50,Thalpathy need to speak for these issues regarding what he want to deliver from the film sarkar!.Hope it will happe… https://t.co/lNTEh7kdNt
2018-11-10 11:45:54,#sarkar riveting class n mass entertainment ...mind blowing performance by charismatic #ThalapathyKingOfBoxOffice… https://t.co/jjzjOz0lBq
2018-11-10 11:12:31,"To those who have watched #Sarkar , how was it?

#ThalapathyKingOfBoxOffice #Thalapathy"
2018-11-10 10:34:03,"#ThalapathyKingOfBoxOffice #KingOfOpeningThalapathyVIJAY 
#PeopleFavSarkar 
Always the king of BO!!!!"
2018-11-10 10:08:57,"@NikileshSurya Opening does not just mean Advance Bookings alone! Opening means Collections done, which includes bo… https://t.co/fVtCjGxw6e"
2018-11-10 09:16:24,"#Sarkar TN Gross

Day 1 ₹32 Cr
Day 2 ₹23 Cr
Day 3 ₹13 Cr
Day 4 ₹10.5 cr

Total 4 Days TN Gross: ₹78.5 Cr approx

#ThalapathyKingOfBoxOffice"
2018-11-10 08:22:06,"Want to know the real rage ? 

#SARKAR weekend bookings in Kerala 

Overseas nailing as usual. Stunning performance… https://t.co/Ks5OPQNflz"
2018-11-10 06:58:29,"@SSMusicTweet Who is Opening King? 
#UndisputedOpeningKingAJITH 
#ThalapathyKingOfBoxOffice"
2018-11-10 05:09:08,"#Sarkar WW 145cr in just 3days👌👌 EXTRAORDINARY 👏👏 Now #250cr is just a Cakewalk 😎

Easily it will cross 100cr in TN… https://t.co/f4I2UG9VJk"
2018-11-09 22:56:03,"#Sarkar Chennai City collections 

First day : 2.41Cr
Second day : 2.32Cr
Third day : 1.28Cr
Fourth day : 1.36Cr

T… https://t.co/DKhwpFEfZ5"
2018-11-09 18:39:47,"But Not Every BB Is Good In Terms Of Content 

Dheeran Deserved What Mersal And Vivegam Collected.

So Enjoy The Qu… https://t.co/H2YTqopVuX"
2018-11-09 18:24:32,"'@actorvijay's #Sarkar Rakes in Over ₹135 Crore Globally in Three days.

#Sarkar #Thalapathykingofboxoffice"
2018-11-09 18:19:59,"@ramk8060 '@actorvijay's #Sarkar Rakes in Over ₹135 Crore Globally in Three days.

#Sarkar #ThalapathyKingOfBoxOffice"
2018-11-09 18:19:45,"'@actorvijay's #Sarkar Rakes in Over ₹135 Crore Globally in Three days.

#Sarkar #ThalapathyKingOfBoxOffice"
2018-11-09 16:10:57,#Sarkar 2nd time @NovoCinemas #UAE. Let's witness #49P again. 😎🤩 @actorvijay #ThalapathyVIJAY… https://t.co/1nUZlDo4Zk
2018-11-09 15:02:53,"#Sarkar is going #crazy everywhere !!!!
#SarkarPuratchiArambam #ThalapathyKingOfBoxOffice #SarkarKondattam… https://t.co/JxB2hTIU9z"
2018-11-09 14:21:15,"How many times you watched Sarkar in theatres so far? 
#SarkarPuratchiArambam
#SARKARvsTNSarkar… https://t.co/m9yFmpXW3t"
2018-11-09 13:28:57,"#Sarkar 3 days domestic box office breakdown!!

Tuesday : ₹46.7 Crore

Wednesday : ₹31.8 Crore

Thursday: ₹18.3 Cro… https://t.co/NkDUWQe5Sj"
2018-11-09 11:52:25,You can't do everything with your authority. I wish this nightmare ended today.but sad that scenes have been delete… https://t.co/VQD3m6meGl
2018-11-09 09:49:33,"Top 3 Highest single day gross in Tamil Nadu... 
1- #Sarkar Day 1
2- #Sarkar Day 2
3- #Sarkar Day 3
This is stardom… https://t.co/criwEn1ya7"
2018-11-09 08:06:33,Just now watched #Sarkar For The 3Rd time...Craze for the movie went damn high even in the week day...No Scenes wer… https://t.co/tDVf3pRAwe
2018-11-09 06:02:51,Let’s imagine that #vijay is announcing his politics entry this Sunday what will happen? #ThalapathyDiwali… https://t.co/b792acKXSd
2018-11-09 05:45:37,"Make this hashtag trend national level 👉 #BuildingStrongBasementWeakAIADMK 👈
#WeStandWithARMurugadoss… https://t.co/J0M8NJDvQZ"
2018-11-09 05:03:49,"#PeoplesFavSARKAR    I will stand with @actorvijay &amp; @ARMurugadoss till I have my last breath, Murugadoss sir ur d… https://t.co/AwjNsuDSWW"
2018-11-09 04:21:07,@LMKMovieManiac @ARMurugadoss but this sarkar movie is 7th movie for #Thalapathykingofboxoffice which crosses 100 crore 😘💕💯✌
2018-11-09 04:14:49,@KollywudCinema @VettriTheatres Ban Sarkar #vettri theatre has earned enough profit from #sarkar in 2 days #ThalapathyKingOfBoxOffice
2018-11-09 03:08:35,"#Sarkar Chennai City Gross 👍
Day 1 -2.37Cr
Day 2 -2.32 Cr
Day 3 - 1.28 Cr
Total -5.97 Cr
#BlockBusterSARKAR -#ThalapathyKingOfBoxOffice"
2018-11-08 17:58:11,"#Sarkar Chennai City Box Office 3 Days Update

Day 1 - ₹ 2.37CR
Day 2 - ₹ 2.32CR
Day 3 - ₹ 1.28CR

Grand Total - ₹… https://t.co/JIwZcmZNT0"
2018-11-08 16:41:46,"Fucking TN government doesnt give a shit abt Rajalakshmi and many other issues 

Comes forward to ban #Sarkar 😡😠… https://t.co/To3Sv0Ixzn"
2018-11-08 15:26:05,"Thalapathy's #Sarkar Rocking!! 
Tamilnadu's #Sarkar Shivering!! 

That's the Power! That's the Combo!!… https://t.co/hzPZRoW4nt"
2018-11-08 15:06:53,@Lyricist_Vivek @Lyricist_Vivek  d smile say it all நண்ப... 😍 #ThalapathyKingOfBoxOffice #SarkarVsTNSarkar
2018-11-08 15:06:52,Help me reach 100 followers — I’m halfway of the way there! #ThalapathyKingOfBoxOffice #PeoplesFavSARKAR #Sarkar100CrIn2Days
2018-11-08 14:32:42,#PeoplesFavSARKAR no one can stop the growth of thalapathy🔥🔥....edhirthaa adhu dha enoda valarchii ...perfect lines… https://t.co/rA39XFbfCf
2018-11-08 14:22:41,"#Sarkar USA 🇺🇲 Gross Report :

Wednesday Gross : $60,327

Locations : 128

Total Gross : $566,149*… https://t.co/m5ejmKUlIx"
2018-11-08 13:32:39,Vijay fans are requesting to @sunpictures do not remove any scenes from Sarkar movie its our request please do this… https://t.co/MvO88wJ1Wy
2018-11-08 13:03:58,"#Sarkar100CrIn2Days 

Thuppakki - 14 Days
Kaththi - 12 Days
Theri - 6 Days
Bairavaa - 4 Days
Mersal - 3 Days
Sarkar… https://t.co/IJNaiSXphJ"
2018-11-08 12:04:36,"The Only South Indian Actor Having 6 100cr Clubs !🎉

@actorvijay anna The Real BOXOFFICE Monster !🔥… https://t.co/D7LlbR1Jq5"
2018-11-08 11:14:21,"#Sarkar
@ARMurugadoss is not depending upon hardwork
but depends upon big heros #ThalapathyKingOfBoxOffice… https://t.co/vCtNSnb8uz"
2018-11-08 11:03:53,"Single Day Highest Shares for Vijay @ TS &amp; AP

#SARKAR (First Day) - ₹2.32cr
#SARKAR (Second Day) - ₹2.02cr… https://t.co/JbkAwtaSDT"
2018-11-08 10:37:14,"Sarkar is not just seen as a movie, it should be a revolution in next election. That’s a real success of Sarkar mak… https://t.co/jftT7BxWKv"
2018-11-08 10:29:34,@ARMurugadoss No matter what happens dont cut any scenes from sarkar💪 #Thalapathy Fans all over the world will be w… https://t.co/Pg9cvcPX8t
2018-11-08 10:26:00,@Nitinsathyaa @ARMurugadoss @Jagadishbliss @actorvijay Keenly enjoy #SarkarBoxOffice #sarkar #SarkarDiwali… https://t.co/kQGY0ey7i2
2018-11-08 08:51:50,Mission Breakeven (7.5 CR) in AP TS is on the right track.. #Sarkar has already done a share of 4.20 CR after its o… https://t.co/MJlKDpMruH
2018-11-08 08:32:07,"#Sarkar100CrIn2Days. That our #ThalapathyVIJAY Anna

#Thalapathykingofboxoffice"
2018-11-08 08:14:37,"Top 3 single day gross in TN: Day 1 #Sarkar(32Cr), Day 2 Sarkar(23Cr), Day 1 Mersal(23Cr). Ruthless domination at t… https://t.co/wHJzatzU5Q"
2018-11-08 07:56:18,"How would you rate #SARKAR ?
@ARMurugadoss @arrahman @actorvijay @KeerthyOfficial @varusarath #Thalapathy… https://t.co/2xuEcKnOVg"
2018-11-08 07:33:44,"#Sarkar100CrIn2Days 🔥
The 6th film enter into 100cr club ❤
TN cinema 🔥
#ThalapathyKingOfBoxOffice 👑"
2018-11-08 07:26:34,"Congrats @actorvijay Sir For The massive success of #Sarkar
ND also congrats to the Whole Team of #Sarkar
Hope it w… https://t.co/NNQLSzihyp"
2018-11-08 06:49:24,"#SARKAR 💥
#ThalapathyKingOfBoxOffice
Most  100cr club entry by an sounth Indian actor @actorvijay 🔥🥁🎊
#Sarkar100CrIn2Days"
2018-11-08 06:48:57,"#Sarkarofficial #Enter100CrIn2days
#ThalapathyKingOfBoxOffice 
#ThalapathyVijay 
#ARMurugadoss 
#ARRahman… https://t.co/HOZ5EWpYQm"
2018-11-08 06:34:54,#ThalapathyKingOfBoxOffice #Sarkar100CrIn2Days #powerofvijay @sunpictures expecting first 300cr movie 😎 @ARMurugadoss #Sarkar
2018-11-08 06:30:44,"Massive 100cr in 2days 
Saravedi sarkar 
#Thalapathykingofboxoffice"
2018-11-08 06:22:18,Unstoppable #SARKAR mind blowing figures..🙄 100cr gross in just 2days..🔥🔥 #ThalapathyKingOfBoxOffice
2018-11-08 06:11:17,"#Thalapathy63 

Director - #Atlee 

Music Director - #Anirudh

D.O.P - #GKVishnu

Edit - #AntonyLRuben
Art Director… https://t.co/o6wRB9Zfbk"
2018-11-08 05:45:38,Congratulations Paapaa @varusarath  and darling @KeerthyOfficial for joins 100 crore club.… https://t.co/72RFH4MsdA
2018-11-08 05:42:15,#Sarkar100CrIn2Days This is the reply a superstar can hit back strong #ThalapathyVijay #ThalapathyKingOfBoxOffice .… https://t.co/JoqWL8QWGN
2018-11-08 05:41:04,Breaking : #Sarkar Day2 Chennai city gross is 2.32 CR.. Hardly any drop from its opening day 2.37 CR.. 2-days total… https://t.co/43k0paXZId
2018-11-08 05:32:42,"Once again proved that #Thalapathy a BoxOffice King😎😍 #OldRecord Smashed✌🏻💪 
#ThalapathyKingOfBoxOffice… https://t.co/uzPNRy1gTh"
2018-11-08 05:20:53,2 days 100+ Cr😎😍😍 #ThalapathyKingOfBoxOffice #Sarkar100CrIn2Days
2018-11-08 05:18:41,@karthikwtp Frm Bengal with luv.. Nothing can stop him.. I was in Chennai 2016 nd witnessed his crazy fan following… https://t.co/PGjqd2xnP2
